die_size,sheet_size,number_out,die_number,flat_size,seal_flap_size
,,,,,
,,,,,
6 1/4 x 6 3/4  BK,9 1/4 X 14 3/8,1,# 62,8 3/4 X 13 7/8,1 7/8
6 1/4 x 6 3/4  BK,11 X 17 ,1,# 62,8 3/4 X 13 7/8,1 7/8
6 1/4 x 6 3/4  BK,17 1/2 X 22 1/2,1,# 62,8 3/4 X 13 7/8,1 7/8
6 1/4 x 6 3/4  BK,19 X 25,2,# 62,8 3/4 X 13 7/8,1 7/8
6 1/4 x 6 3/4  BK,23 X 29,4,# 62,8 3/4 X 13 7/8,1 7/8
6 1/4 x 6 3/4  BK,23 X 35,4,# 62,8 3/4 X 13 7/8,1 7/8
6 1/4 x 6 3/4  BK,25 X 38,6,# 62,8 3/4 X 13 7/8,1 7/8
6 1/4 x 6 3/4  BK,28 X 40,9,# 62,8 3/4 X 13 7/8,1 7/8
,,,,,
,,,,,
6 1/4 x 9  BK,11 1/4 X 14 1/8,1,# 140,10 3/4 X 13 5/8,1 3/4
6 1/4 x 9  BK,11 X 17 ,0,# 140,10 3/4 X 13 5/8,1 3/4
6 1/4 x 9  BK,17 1/2 X 22 1/2,1,# 140,10 3/4 X 13 5/8,1 3/4
6 1/4 x 9  BK,19 X 25,1,# 140,10 3/4 X 13 5/8,1 3/4
6 1/4 x 9  BK,23 X 29,4,# 140,10 3/4 X 13 5/8,1 3/4
6 1/4 x 9  BK,23 X 35,4,# 140,10 3/4 X 13 5/8,1 3/4
6 1/4 x 9  BK,25 X 38,4,# 140,10 3/4 X 13 5/8,1 3/4
6 1/4 x 9  BK,28 X 40,4,# 140,10 3/4 X 13 5/8,1 3/4
,,,,,
,,,,,
6 1/4 x 9 1/4  BK,11 3/4 X 14,1,# 113 - N,11 1/4 X 13 1/2,1 1/2
6 1/4 x 9 1/4  BK,11 X 17 ,0,# 113 - N,11 1/4 X 13 1/2,1 1/2
6 1/4 x 9 1/4  BK,17 1/2 X 22 1/2,1,# 113 - N,11 1/4 X 13 1/2,1 1/2
6 1/4 x 9 1/4  BK,19 X 25,1,# 113 - N,11 1/4 X 13 1/2,1 1/2
6 1/4 x 9 1/4  BK,23 X 29,4,# 113 - N,11 1/4 X 13 1/2,1 1/2
6 1/4 x 9 1/4  BK,23 X 35,4,# 113 - N,11 1/4 X 13 1/2,1 1/2
6 1/4 x 9 1/4  BK,25 X 38,4,# 113 - N,11 1/4 X 13 1/2,1 1/2
6 1/4 x 9 1/4  BK,28 X 40,4,# 113 - N,11 1/4 X 13 1/2,1 1/2
,,,,,
,,,,,
6 1/4 x 9 3/8  BK,11 5/8 X 14 7/8,1,# 118 - N,11 1/8 X 13 3/8,1 3/8
6 1/4 x 9 3/8  BK,11 X 17 ,0,# 118 - N,11 1/8 X 13 3/8,1 3/8
6 1/4 x 9 3/8  BK,17 1/2 X 22 1/2,1,# 118 - N,11 1/8 X 13 3/8,1 3/8
6 1/4 x 9 3/8  BK,19 X 25,1,# 118 - N,11 1/8 X 13 3/8,1 3/8
6 1/4 x 9 3/8  BK,23 X 29,4,# 118 - N,11 1/8 X 13 3/8,1 3/8
