die_size,sheet_size,number_out,die_number,flat_size,seal_flap_size
,,,,,
,,,,,
#10 Policy - 4 1/8 x 9 1/2 OE,9 5/8 X 12 5/8,1,# 181,9 1/8 X 12 1/8,1 5/8
#10 Policy - 4 1/8 x 9 1/2 OE,11 X 17 ,1,# 181,9 1/8 X 12 1/8,1 5/8
#10 Policy - 4 1/8 x 9 1/2 OE,17 1/2 X 22 1/2,1,# 181,9 1/8 X 12 1/8,1 5/8
#10 Policy - 4 1/8 x 9 1/2 OE,19 X 25,4,# 181,9 1/8 X 12 1/8,1 5/8
#10 Policy - 4 1/8 x 9 1/2 OE,23 X 29,4,# 181,9 1/8 X 12 1/8,1 5/8
#10 Policy - 4 1/8 x 9 1/2 OE,23 X 35,4,# 181,9 1/8 X 12 1/8,1 5/8
#10 Policy - 4 1/8 x 9 1/2 OE,25 X 38,6,# 181,9 1/8 X 12 1/8,1 5/8
#10 Policy - 4 1/8 x 9 1/2 OE,28 X 40,6,# 181,9 1/8 X 12 1/8,1 5/8
,,,,,
,,,,,
#10 Policy - 4 1/8 x 9 1/2 OE,9 7/8 X 12 3/8,1,# 68,9 3/8 X 11 7/8,1 1/2
#10 Policy - 4 1/8 x 9 1/2 OE,11 X 17 ,1,# 68,9 3/8 X 11 7/8,1 1/2
#10 Policy - 4 1/8 x 9 1/2 OE,17 1/2 X 22 1/2,1,# 68,9 3/8 X 11 7/8,1 1/2
#10 Policy - 4 1/8 x 9 1/2 OE,19 X 25,2,# 68,9 3/8 X 11 7/8,1 1/2
#10 Policy - 4 1/8 x 9 1/2 OE,23 X 29,4,# 68,9 3/8 X 11 7/8,1 1/2
#10 Policy - 4 1/8 x 9 1/2 OE,23 X 35,4,# 68,9 3/8 X 11 7/8,1 1/2
#10 Policy - 4 1/8 x 9 1/2 OE,25 X 38,6,# 68,9 3/8 X 11 7/8,1 1/2
#10 Policy - 4 1/8 x 9 1/2 OE,28 X 40,6,# 68,9 3/8 X 11 7/8,1 1/2
,,,,,
,,,,,
#10 Policy - 4 1/8 x 9 1/2 OE,9 1/4 X 12 13/16,1,# 69,8 3/4 X 12 5/16,2
#10 Policy - 4 1/8 x 9 1/2 OE,11 X 17 ,1,# 69,8 3/4 X 12 5/16,2
#10 Policy - 4 1/8 x 9 1/2 OE,17 1/2 X 22 1/2,2,# 69,8 3/4 X 12 5/16,2
#10 Policy - 4 1/8 x 9 1/2 OE,19 X 25,2,# 69,8 3/4 X 12 5/16,2
#10 Policy - 4 1/8 x 9 1/2 OE,23 X 29,4,# 69,8 3/4 X 12 5/16,2
#10 Policy - 4 1/8 x 9 1/2 OE,23 X 35,4,# 69,8 3/4 X 12 5/16,2
#10 Policy - 4 1/8 x 9 1/2 OE,25 X 38,6,# 69,8 3/4 X 12 5/16,2
#10 Policy - 4 1/8 x 9 1/2 OE,28 X 40,9,# 69,8 3/4 X 12 5/16,2
,,,,,
,,,,,
4 3/8 x 9 1/2 OE,12 15/16 X 12 11/16,1,# 360,12 7/16 X 12 3/16,1 15/16
4 3/8 x 9 1/2 OE,11 X 17 ,0,# 360,12 7/16 X 12 3/16,1 15/16
