Table 1
die_size,sheet_size,number_out,die_number,flat_size,seal_flap_size
,,,,,
3 X 4 1/2  BK,6 3/4 X 9 1/8,1,# 10 ,6 1/4 X 8 5/8,2 7/8
3 X 4 1/2  BK,11 x 17,1,# 10 ,6 1/4 X 8 5/8,2 7/8
3 X 4 1/2  BK,17 1/2 x 22 1/2,4,# 10 ,6 1/4 X 8 5/8,2 7/8
3 X 4 1/2  BK,19 x 25,4,# 10 ,6 1/4 X 8 5/8,2 7/8
3 X 4 1/2  BK,23 x 29,9,# 10 ,6 1/4 X 8 5/8,2 7/8
3 X 4 1/2  BK,23 x 35,12,# 10 ,6 1/4 X 8 5/8,2 7/8
3 X 4 1/2  BK,25 x 38,12,# 10 ,6 1/4 X 8 5/8,2 7/8
3 X 4 1/2  BK,28 x 40,12,# 10 ,6 1/4 X 8 5/8,2 7/8
,,,,,
,,,,,
3 x 5 1/8  BK,7 1/8 X 7 1/4,1,# 72,6 5/8 x 6 3/4,1 1/4
3 x 5 1/8  BK,11 x 17 ,2,# 72,6 5/8 x 6 3/4,1 1/4
3 x 5 1/8  BK,17 1/2 x 22 1/2,6,# 72,6 5/8 x 6 3/4,1 1/4
3 x 5 1/8  BK,19 x 25,6,# 72,6 5/8 x 6 3/4,1 1/4
3 x 5 1/8  BK,23 x 29,12,# 72,6 5/8 x 6 3/4,1 1/4
3 x 5 1/8  BK,23 x 35,15,# 72,6 5/8 x 6 3/4,1 1/4
3 x 5 1/8  BK,25 x 38,15,# 72,6 5/8 x 6 3/4,1 1/4
3 x 5 1/8  BK,28 x 40,20,# 72,6 5/8 x 6 3/4,1 1/4
,,,,,
,,,,,
3 1/8 X 6 1/4  BK,8 1/4 X 7 1/2,1,# 206,7 3/4 X 7,1 1/16
3 1/8 X 6 1/4  BK,11 x 17 ,2,# 206,7 3/4 X 7,1 1/16
3 1/8 X 6 1/4  BK,17 1/2 x 22 1/2,6,# 206,7 3/4 X 7,1 1/16
3 1/8 X 6 1/4  BK,19 x 25,6,# 206,7 3/4 X 7,1 1/16
3 1/8 X 6 1/4  BK,23 x 29,8,# 206,7 3/4 X 7,1 1/16
3 1/8 X 6 1/4  BK,23 x 35,8,# 206,7 3/4 X 7,1 1/16
3 1/8 X 6 1/4  BK,25 x 38,15,# 206,7 3/4 X 7,1 1/16
3 1/8 X 6 1/4  BK,28 x 40,15,# 206,7 3/4 X 7,1 1/16
