ColoEnvPO,id,to,phone,fax,todaysdate,ship,shippingco,for,datereqd,comments,desc1,desc2,desc3,desc4,desc5,desc6,desc7,desc8,desc9,desc10,desc11,desc12,desc13,desc14,desc15,desc16,desc17,desc18,desc19,desc20,qty1,qty2,qty3,qty4,qty5,qty6,qty7,qty8,qty9,qty10,qty11,qty12,qty13,qty14,qty15,qty16,qty17,qty18,qty19,qty20,price1,price2,price3,price4,price5,price6,price7,price8,price9,price10,price11,price12,price13,price14,price15,price16,price17,price18,price19,price20,addchg1,addchg2,addchg3,addchg4,addchg5,addchg6,addchg7,addchg8,addchg9,addchg10,addchg11,addchg12,addchg13,addchg14,addchg15,addchg16,addchg17,addchg18,addchg19,addchg20,recvd1,recvd2,recvd3,recvd4,recvd5,recvd6,recvd7,recvd8,recvd9,recvd10,recvd11,recvd12,recvd13,recvd14,recvd15,recvd16,recvd17,recvd18,recvd19,recvd20,date1,date2,date3,date4,date5,date6,date7,date8,date9,date10,date11,date12,date13,date14,date15,date16,date17,date18,date19,date20
26243,9943,PDG,,,2014-03-29,,,Eagle,2014-04-01,,Negs  from the PDF provided,,Outer Ballot Envelope,6 x 9 1/4 Booklet,,Thanks,JR,,THIS IS THE ONE I TALKED TO YOU ABOUT,I ONLY NEED THE OUTER FILM THE BACK PRINT,IS COMMON ALONG WITH THE OTHER'S I SENT,FRIDAY,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,$13.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2014-03-31,,,,,,,,,,,,,,,,,,,
26261,9944,PDG,,,2014-03-29,,,Source Office,2014-03-31,,Negs  from the PDF provided,,Jefferson County Human Services,6 1/4 x 9 5/8 Booklet,,Thanks,JR,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,$13.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2014-03-31,,,,,,,,,,,,,,,,,,,
,9945,Frank C. Meyer Co.,6017762117,,2014-03-31,,,Colo Env,2014-04-07,Color Env Accout number # 17749,,,# 10 tops,#10 bottoms,,,Order Placed With Jana,Metro Park Warehouse,251 s 55th st,Kansas city Kansas  66106,,,,"5,400 lbs 4 skids",,Price is $445.14 - Class #70,BOL#,303-665-1000,UNISHIPPER,Alicia Harriott,,,16000,16000,,,,,,,,,,,,,,,,,,,81.29/m,81.29/m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,Complete,,,,,,,,,,,,,,,,,,,2014-04-03,2014-04-03,,,,,,,,,,,,,,,,
0,9946,"Spicers Paper, Inc",,,2014-03-31,,,inventory,2014-04-01,,,,25 x 38 #60 Recycled williamsburg,,,,28 x 40 #60 Recycled Williamsburg,,,,,,,,,,,,,,,,127500,,,,7000,,,,,,,,,,,,,,,,$61.80/M,,,,$73.13/M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,Complete,,,,,,,,,,,,,,,,2014-04-01,,,,2014-04-01,,,,,,,,,,,,,
26243,9947,PDG,,,2014-03-31,,,Eagle,2014-04-01,,Negs  from the PDF provided,,Outer Ballot Envelope,6 x 9 1/4 Booklet,,Thanks,JR,,THIS IS THE ONE I TALKED TO YOU ABOUT,I ONLY NEED THE OUTER FILM THE BACK PRINT,IS COMMON ALONG WITH THE OTHER'S I SENT,FRIDAY,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,$13.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2014-04-02,,,,,,,,,,,,,,,,,,,
26265,9948,PDG,,,2014-03-31,,,Pera,2014-04-01,,Negs  from the PDF provided,,Pera,#10,,Thanks,JR,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,$26.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2014-04-02,,,,,,,,,,,,,,,,,,,
26281,9949,Pepperdines,,,2014-04-01,,,Printcolor,2014-04-03,,Poly Plates .107 thick,Andrew Womack,#9 envelope,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2014-04-02,,,,,,,,,,,,,,,,,,,
26283,9950,XPEDX,3033752429,3033752303,2014-04-01,,,Pera,2014-04-02,,Sheets 23 x 35 Blue springhill  #2275680,,sheets 23 x 35 Green Springhill  #2275681,,Sheets 23 x 35 Green Springhill,,,,,,,,,,,,,,,,12000,,5500,,50,,,,,,,,,,,,,,,,99.40/m,,99.40/m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,Complete,,Complete,,,,,,,,,,,,,,,,2014-04-02,,2014-04-02,,2014-04-03,,,,,,,,,,,,,,,
26283,9951,"Spicers Paper, Inc",3033739655,,2014-04-01,,,Pera,2014-04-02,,Sheets 23 x 35 Blue springhill,,sheets 23 x 35 Green Springhill,,,,,,,,,,,,,,,,,,3000,,1500,,,,,,,,,,,,,,,,,,106.25/m,,106.25/m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,Complete,,,,,,,,,,,,,,,,,,2014-04-02,,2014-04-02,,,,,,,,,,,,,,,,,
0,9952,XPEDX,3033752413,3033752303,2014-04-01,,,Jets,2014-04-04,,Green blankets - thick .074 or .075,item# 6218906,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,$35.86/each,,,,,,,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2014-04-14,,,,,,,,,,,,,,,,,,,
26118,9873,PDG,,,2014-03-17,,,On Demand Printing,2014-03-18,,Negs  from the PDF provided,,Cash/Donation Log,9 x 12 Open End,,Thanks,JR,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,$15.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2014-03-18,,,,,,,,,,,,,,,,,,,
26117,9874,PDG,,,2014-03-17,,,On Demand Printing,2014-03-18,,Negs  from the PDF provided,,Cash Check Donation,6 3/4 Reg,,Thanks,JR,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,$13.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2014-03-18,,,,,,,,,,,,,,,,,,,
26129,9875,PDG,,,2014-03-17,,,Pioneer Press,2014-03-18,,Negs  from the PDF provided,,Eben Ezer,6 1/4 Remittance,,Thanks,JR,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,$26.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2014-03-18,,,,,,,,,,,,,,,,,,,
0,9876,AABBITT,8002222488,,2014-03-17,,, Latex,2014-03-21,,Latex - 5 gallon Pails  224-44--5 (this is a new product),this product should not thicken up while running,1 pail is free - Per David,,Placed order with Hazel,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2014-03-24,,,,,,,,,,,,,,,,,,,
26121,9877,PDG,,,2014-03-17,,,Tewell Warren,2014-03-18,,Negs  from the PDF provided,,Belmont Abbey College,#10,,Thanks,JR,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,$26.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2014-03-18,,,,,,,,,,,,,,,,,,,
