die_size,sheet_size,number_out,die_number,seal_flap_size
,,,,
3 1/8 X 6 3/4  DIA,11 x 17,2,# 10 ,1 13/16
3 1/8 X 6 3/4  DIA,17 1/2 x 22 1/2,5,# 10 ,1 13/16
3 1/8 X 6 3/4  DIA,19 x 25,6,# 10 ,1 13/16
3 1/8 X 6 3/4  DIA,23 x 29,9,# 10 ,1 13/16
3 1/8 X 6 3/4  DIA,23 x 35,12,# 10 ,1 13/16
3 1/8 X 6 3/4  DIA,25 x 38,15,# 10 ,1 13/16
3 1/8 X 6 3/4  DIA,28 x 40,16,# 10 ,1 13/16
,,,,
,,,,
3 1/8 X 6 3/4  DIA - MON,11 x 17,2,# 277,2
3 1/8 X 6 3/4  DIA - MON,17 1/2 x 22 1/2,4,# 277,2
3 1/8 X 6 3/4  DIA - MON,19 x 25,5,# 277,2
3 1/8 X 6 3/4  DIA - MON,23 x 29,8,# 277,2
3 1/8 X 6 3/4  DIA - MON,23 x 35,9,# 277,2
3 1/8 X 6 3/4  DIA - MON,25 x 38,12,# 277,2
3 1/8 X 6 3/4  DIA - MON,28 x 40,15,# 277,2
,,,,
,,,,
3 3/8 X 6 1/4  DIA,11 x 17,2,# 156,1 3/8
3 3/8 X 6 1/4  DIA,17 1/2 x 22 1/2,4,# 156,1 3/8
3 3/8 X 6 1/4  DIA,19 x 25,3,# 156,1 3/8
3 3/8 X 6 1/4  DIA,23 x 29,8,# 156,1 3/8
3 3/8 X 6 1/4  DIA,23 x 35,10,# 156,1 3/8
3 3/8 X 6 1/4  DIA,25 x 38,13,# 156,1 3/8
3 3/8 X 6 1/4  DIA,28 x 40,15,# 156,1 3/8
,,,,
,,,,
3 3/8 X 7  DIA,11 x 17,2,# 274,1 3/8
3 3/8 X 7  DIA,17 1/2 x 22 1/2,3,# 274,1 3/8
3 3/8 X 7  DIA,19 x 25,6,# 274,1 3/8
3 3/8 X 7  DIA,23 x 29,8,# 274,1 3/8
3 3/8 X 7  DIA,23 x 35,10,# 274,1 3/8
3 3/8 X 7  DIA,25 x 38,13,# 274,1 3/8
3 3/8 X 7  DIA,28 x 40,15,# 274,1 3/8
,,,,
,,,,
3 3/8 X 7 3/16  DIA,11 x 17,2,# 265,1 1/2
3 3/8 X 7 3/16  DIA,17 1/2 x 22 1/2,3,# 265,1 1/2
3 3/8 X 7 3/16  DIA,19 x 25,6,# 265,1 1/2
3 3/8 X 7 3/16  DIA,23 x 29,8,# 265,1 1/2
3 3/8 X 7 3/16  DIA,23 x 35,10,# 265,1 1/2
3 3/8 X 7 3/16  DIA,25 x 38,2,# 265,1 1/2
3 3/8 X 7 3/16  DIA,28 x 40,15,# 265,1 1/2
,,,,
,,,,
3 3/8 X 7 1/2  DIA,11 x 17,2,# 162,1 5/8
3 3/8 X 7 1/2  DIA,17 1/2 x 22 1/2,4,# 162,1 5/8
3 3/8 X 7 1/2  DIA,19 x 25,5,# 162,1 5/8
3 3/8 X 7 1/2  DIA,23 x 29,6,# 162,1 5/8
